2018-02-06 19:00:28,891 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有6个img标签，其中移除二维码图片的标签共有0个,高度小于175的图片有2个，网易检测不符合规则的图片有0个。
2018-02-06 19:00:28,897 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有45个[//span]标签
2018-02-06 19:00:28,899 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有45个[//span]标签，已全部剔除
2018-02-06 19:00:28,937 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有193个标签
2018-02-06 19:00:28,946 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有1个包含图片的标签，稍后要图片本地化
2018-02-06 19:00:28,974 [1] INFO  BaseLog [(null)] - 文章ID为225446中,原来URL为：http://mmbiz.qpic.cn/mmbiz_png/uN1LIav7oJ94qPKZ1e56Qa0ASBsUfyfRN6OLWlRnM2LUrISkyyJUe6WmSu0p1PxNicjZjDtEHKrjJP0rPchnqhw/0?wx_fmt=png的图片，替换为：http://192.168.3.76/group4/M00/00/65/pIYBAFp5i9WAUbjzAAAH4D3DsKk974.png，操作成功
2018-02-06 19:00:28,975 [1] INFO  BaseLog [(null)] - 文章ID为225446中,共有1个包含图片的标签，图片本地化完成，共替换1个。
2018-02-06 19:00:29,287 [1] INFO  BaseLog [(null)] - 当前线程[1],同步微信文章数据，批次<1>-----开始
2018-02-06 19:00:29,449 [1] INFO  BaseLog [(null)] - 更新这些微信Weixin_ArticleInfo表中的主键ID[225446],的状态为：2
2018-02-06 19:00:29,455 [1] INFO  BaseLog [(null)] - 当前线程[1],同步微信文章数据，批次<1>-----结束
2018-02-06 19:00:29,456 [1] INFO  BaseLog [(null)] - 当前线程[1],微信文章数据,目前循环到第2个，总共需要3条数据要清洗
2018-02-06 19:00:29,472 [1] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/HiaPm3dictNTiaRtAyPiauYh5NpbfuKDW3mduLWHCEjXib7tbIVnAqzLwwTUjpCs17wAjd2wyhKIIA58G5448aF8ficQ/0?wx_fmt=jpeg]---------开始
